Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
8593,"Which term matches this description: ""a versioning scheme using a three-part number (major.minor.patch) to indicate the nature of software changes""?",a merge conflict,semantic versioning,smoke testing,a prototype in software development,B,The description matches semantic versioning: a versioning scheme using a three-part number (major.minor.patch) to indicate the nature of software changes,Software,Software Development
8594,How many Megabyte (MB)s is 16 Kilobyte (KB)(s) equal to?,15.625,1.52588e-05,0.015625,0.0078125,C,"1 Kilobyte (KB) = 1024^-1 Megabyte (MB)(s) (relative scale), so 16 Kilobyte (KB)(s) = 0.015625 Megabyte (MB)(s).",Hardware,Storage Units
8595,What is an AI model's citation behaviour?,"a parameter that controls the randomness of a generative model's output, with higher values producing more varied text",a technique used to fine-tune AI models based on human preferences and feedback,a phenomenon where an AI model generates information that sounds plausible but is factually incorrect,the practice of an AI system referencing its sources when presenting factual claims drawn from external information,D,an AI model's citation behaviour is: the practice of an AI system referencing its sources when presenting factual claims drawn from external information,AI – Artificial Intelligence,Generative AI
8596,"A classifier has 41 true positives, 133 true negatives, 18 false positives, and 29 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.94,0.79,0.59,0.89,B,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (41+133)/(41+133+18+29) = 0.79.,ML – Machine Learning,Model Evaluation
8597,Which statement correctly describes the largest ocean in the world?,"India, which surpassed China in population in 2023","Australia (Oceania), located in the Southern Hemisphere","Vatican City, an independent city-state located within Rome, Italy","the Pacific Ocean, covering about one-third of Earth's surface",D,"By definition, the largest ocean in the world is: the Pacific Ocean, covering about one-third of Earth's surface",General Knowledge (GK),World Facts
8598,A team scores at a run rate of 6.17 runs per over for 40 overs. Approximately how many runs have they scored?,262,242,247,257,C,Runs ≈ Run rate × Overs = 6.17 × 40 ≈ 247 runs.,Cricket,Scoring Calculations
8599,Find the Simple Interest on ₹41989 at 9% per annum for 5 years.,18895,19195,18795,18945,A,SI = (P × R × T)/100 = (41989 × 9 × 5)/100 = ₹18895.,Aptitude,Simple Interest
8600,Which statement correctly describes the <div> tag?,one of the earliest standardised ways for websites to display a custom icon in browser tabs and bookmarks,"the use of HTML elements that convey meaning about their content, such as <header>, <article>, and <footer>",a keyword enclosed in angle brackets used to define the structure and elements of a web page,a generic HTML container element used to group and style content,D,"By definition, the <div> tag is: a generic HTML container element used to group and style content",Web Development,HTML
8601,"In each row, the third number is the sum of the first two: [18, 6, 24], [3, 4, 7], [7, 2, ?]. Find the missing number.",9,5,7,12,A,"Following the pattern, the missing number = 7 + 2 = 9.",Puzzles,Pattern Puzzle
8602,What is pawn promotion?,"16 pieces: 8 pawns, 2 rooks, 2 knights, 2 bishops, 1 queen, and 1 king",a piece that moves diagonally any number of squares,"a special move involving the king and a rook, allowing the king to move two squares toward the rook","the rule allowing a pawn that reaches the farthest rank to be promoted to any other piece, usually a queen",D,"pawn promotion is: the rule allowing a pawn that reaches the farthest rank to be promoted to any other piece, usually a queen",Chess,Special Moves
8603,What is 40 × 67?,2640,2681,2682,2680,D,40 × 67 = 2680.,Math / Mathematics,Multiplication
8604,"Fill in the blank: ______ refers to ""the continuation of the Roman Empire in its eastern provinces, with Constantinople as its capital"".",Martin Luther,the Vikings,the Great Schism,the Byzantine Empire,D,"the Byzantine Empire refers to: the continuation of the Roman Empire in its eastern provinces, with Constantinople as its capital",History,Medieval History
8605,What is the chemical formula for Sodium bicarbonate (baking soda)?,NaOH,NaHCO3,ZnO,FeO,B,The chemical formula for Sodium bicarbonate (baking soda) is NaHCO3.,Science,Compounds
8606,What is the constellation Gemini known for?,"known as 'The Ram', the first constellation of the zodiac","known as 'The Bull', a zodiac constellation containing the Pleiades star cluster","known as 'The Scorpion', a constellation featuring the bright red star Antares","known as 'The Twins', a zodiac constellation named after Castor and Pollux",D,"Gemini is known as 'The Twins', a zodiac constellation named after Castor and Pollux.",Space,Constellations
8607,Which Kannada word means 'brinjal/eggplant'?,ವಿಜ್ಞಾನ,ಗುಡುಗು,ಹದಿಮೂರು,ಬದನೆಕಾಯಿ,D,'ಬದನೆಕಾಯಿ' means 'brinjal/eggplant' in English.,Kannada Subjects,Vocabulary
8608,"Complete the sentence correctly: ""She ___ to the market every day.""",will walk,walks,walked,is walking,B,"The sentence requires the Simple Present form: 'walks'. Full sentence: ""She walks to the market every day.""",English Subjects,Tenses
8609,"Fill in the blank: ______ refers to ""the percentage of a population that can read and write"".",the Swachh Bharat Abhiyan,migration in social terms,literacy rate,a refugee,C,literacy rate refers to: the percentage of a population that can read and write,Social Science,Society
8610,"Which term matches this description: ""a popular open-source relational database management system""?",a configuration file,a computer virus,ransomware,MySQL,D,The description matches MySQL: a popular open-source relational database management system,Software,Software Basics
8611,How many Petabyte (PB)s is 9 Megabyte (MB)(s) equal to?,8.3819e-10,8.3819e-09,8.3819e-08,4.19095e-09,B,"1 Megabyte (MB) = 1024^-3 Petabyte (PB)(s) (relative scale), so 9 Megabyte (MB)(s) = 8.3819e-09 Petabyte (PB)(s).",Hardware,Storage Units
8612,"Fill in the blank: ______ refers to ""a parameter that controls the randomness of a generative model's output, with higher values producing more varied text"".",a Generative AI system,GPT (Generative Pre-trained Transformer),a language model's temperature setting,a foundation model,C,"a language model's temperature setting refers to: a parameter that controls the randomness of a generative model's output, with higher values producing more varied text",AI – Artificial Intelligence,Generative AI
8613,"Fill in the blank: ______ refers to ""a metric used to evaluate regression models by measuring the average absolute difference between predicted and actual values"".",a confusion matrix,recall (in ML),mean absolute error (MAE),model accuracy,C,mean absolute error (MAE) refers to: a metric used to evaluate regression models by measuring the average absolute difference between predicted and actual values,ML – Machine Learning,Model Evaluation
8614,"Fill in the blank: ______ refers to ""ancient Egyptian monuments built as tombs for pharaohs, located near Cairo"".",the Pyramids of Giza,the Great Wall of China,the Leaning Tower of Pisa,the Colosseum,A,"the Pyramids of Giza refers to: ancient Egyptian monuments built as tombs for pharaohs, located near Cairo",General Knowledge (GK),Landmarks
8615,A team needs 147 runs to win from 16.7 overs remaining. What is the required run rate (runs per over)?,8.80,7.80,9.80,9.30,A,Required run rate = Runs needed / Overs remaining = 147 / 16.7 ≈ 8.80.,Cricket,Scoring Calculations
8616,What is the HCF (Highest Common Factor) of 21 and 29?,3,5,1,2,C,"HCF(21,29) = 1.",Aptitude,LCM and HCF
8617,"Fill in the blank: ______ refers to ""software that sits between a web server and application, processing requests before they reach their final destination"".",an HTTP status code,a template engine,middleware (in web development),server-side APIs,C,"middleware (in web development) refers to: software that sits between a web server and application, processing requests before they reach their final destination",Web Development,Backend
